LINK,Pob
60351810,689
60351811,907
60351901,844
60351902,972
60351903,852
60351904,734
60351905,915
60351906,925
60351907,821
60351908,832
60351909,871
60351910,1169
60351911,1071
60352001,992
60352002,991
60352003,1089
60352004,711
60352005,868
60352006,896
60352007,991
60352008,982
60352009,872
60352010,942
60352011,839
60352101,1135
60352102,1043
60352103,585
60352104,520
60352105,381
60352106,469
60352107,621
60352108,558
60352109,691
60352110,781
60352201,1450
60352202,650
60352203,462
60352204,449
60352205,533
60352206,711
60352207,646
60352208,476
60352209,609
60352210,742
60352211,477
60352212,127
60352301,473
60352302,469
60352303,621
60352304,360
60352305,1019
60352306,1048
60352307,1166
60352308,840
60352309,800
60352310,918
60352311,993
60352312,1352
60352401,949
60352402,940
60352403,1275
60352404,1009
60352405,743
60352406,909
60352407,920
60352408,1113
60352409,1143
60352410,1067
60352411,1398
60352501,661
60352502,881
60352503,1442
60352504,813
60352505,1050
60352506,1012
60352507,856
60352508,960
60352509,950
60352510,1845
60352511,1203
60352601,1387
60352602,1530
60352603,773
60352604,293
60352605,2013
60352606,820
60352607,1017
60352608,856
60352609,1192
60352610,1896
60352611,1584
60352612,785
60352613,788
60352614,939
60352615,1011
60352701,292
60352702,846
60352703,885
60352704,2334
60352705,779
60352706,1722
60352707,1557
60352708,407
60352709,973
60352710,977
60352711,1799
60352712,1428
60352713,778
60352714,1241
60352801,1072
60352802,1082
60352803,915
60352804,762
60352805,895
60352806,945
60352807,777
60352808,980
60352901,648
60352902,917
60352903,1009
60352904,825
60352905,726
60352906,835
60352907,754
60352908,752
60352909,608
60353001,1042
60353002,1087
60353003,908
60353004,1171
60353005,798
60353006,928
60353007,1012
60353008,1037
60353009,861
60353010,829
60353101,423
60353102,460
60353103,735
60353104,955
60353105,1157
60353106,554
60353107,446
60353108,722
60353109,583
60353201,1026
60353202,750
60353203,931
60353204,840
60353205,677
60353206,918
60353207,1000
60353208,782
60353301,965
60353302,844
60353303,1137
60353304,813
60353305,492
60353306,806
60353307,815
60353308,745
60353401,800
60353402,775
60353403,603
60353404,745
